file;time;n;m;solsize;recsteps;finished;VC-check;size-check;diff-to-opt;last-k-diff-to-opt
1-random/000002_000000000002.dimacs;0.08;2;0; 0;0;1;OK;OK;0;
1-random/000002_000000000012.dimacs;;12;10; 1025;;0;;;;
1-random/000004_000000000004.dimacs;0.08;4;0; 0;0;1;OK;OK;0;
1-random/000004_000000000024.dimacs;;24;20; 1025;;0;;;;
1-random/000006_000000000007.dimacs;0.10;7;1; 1;1;1;OK;OK;0;
1-random/000006_000000000036.dimacs;;36;30; 1025;;0;;;;
1-random/000008_000000000009.dimacs;0.10;9;1; 1;1;1;OK;OK;0;
1-random/000008_000000000048.dimacs;;48;40; 1025;;0;;;;
1-random/000010_000000000012.dimacs;;12;2; 1025;;0;;;;
1-random/000010_000000000060.dimacs;;60;50; 1025;;0;;;;
1-random/000012_000000000014.dimacs;0.09;14;2; 1;1;1;OK;OK;0;
1-random/000012_000000000072.dimacs;;72;60; 1025;;0;;;;
1-random/000014_000000000016.dimacs;;16;2; 1025;;0;;;;
