file;time;n;m;solsize;recsteps;finished;VC-check;size-check;diff-to-opt;last-k-diff-to-opt
1-random/000002_000000000002.dimacs;0.09;2;0; 0;0;1;OK;OK;0;
1-random/000002_000000000012.dimacs;0.10;12;10; 2;2;1;OK;OK;0;
1-random/000004_000000000004.dimacs;0.09;4;0; 0;0;1;OK;OK;0;
1-random/000004_000000000024.dimacs;0.10;24;20; 4;4;1;OK;OK;0;
1-random/000006_000000000007.dimacs;0.10;7;1; 1;1;1;OK;OK;0;
1-random/000006_000000000036.dimacs;0.11;36;30; 4;4;1;OK;OK;0;
1-random/000008_000000000009.dimacs;0.10;9;1; 1;1;1;OK;OK;0;
1-random/000008_000000000048.dimacs;0.11;48;40; 7;7;1;OK;OK;0;
1-random/000010_000000000012.dimacs;0.10;12;2; 2;2;1;OK;OK;0;
1-random/000010_000000000060.dimacs;0.11;60;50; 10;10;1;OK;OK;0;
1-random/000012_000000000014.dimacs;0.10;14;2; 1;1;1;OK;OK;0;
1-random/000012_000000000072.dimacs;;72;60; 0;;1;Not a VC: Uncovered edge: 1 64;;;
1-random/000014_000000000016.dimacs;0.10;16;2; 2;2;1;OK;OK;0;
1-random/000014_000000000084.dimacs;0.14;84;70; 13;13;1;OK;OK;0;
1-random/000016_000000000019.dimacs;0.11;19;3; 1;1;1;OK;OK;0;
1-random/000016_000000000096.dimacs;0.14;96;80; 15;15;1;OK;OK;0;
1-random/000018_000000000021.dimacs;0.10;21;3; 2;2;1;OK;OK;0;
1-random/000018_000000000108.dimacs;0.15;108;91; 15;15;1;OK;OK;0;
1-random/000020_000000000024.dimacs;0.10;24;4; 2;2;1;OK;OK;0;
1-random/000020_000000000120.dimacs;0.14;120;101; 18;18;1;OK;OK;0;
1-random/000022_000000000026.dimacs;0.10;26;4; 3;3;1;OK;OK;0;
1-random/000022_000000000132.dimacs;0.14;132;112; 19;19;1;OK;OK;0;
1-random/000024_000000000028.dimacs;0.11;28;4; 4;4;1;OK;OK;0;
1-random/000024_000000000144.dimacs;0.15;144;124; 22;22;1;OK;OK;0;
1-random/000026_000000000031.dimacs;0.10;31;6; 5;5;1;OK;OK;0;
1-random/000026_000000000156.dimacs;0.14;156;131; 23;23;1;OK;OK;0;
1-random/000028_000000000033.dimacs;;33;8; 10;;0;;;;
1-random/000028_000000000168.dimacs;0.15;168;152; 26;26;1;OK;OK;0;
1-random/000030_000000000036.dimacs;0.10;36;8; 5;5;1;OK;OK;0;
1-random/000030_000000000180.dimacs;0.17;180;167; 27;27;1;OK;OK;0;
1-random/000035_000000000042.dimacs;0.10;42;7; 6;6;1;OK;OK;0;
1-random/000035_000000000210.dimacs;0.17;210;202; 26;26;1;OK;OK;0;
1-random/000040_000000000048.dimacs;;48;19; 12;;0;;;;
1-random/000040_000000000240.dimacs;0.18;240;244; 35;35;1;OK;OK;0;
1-random/000045_000000000054.dimacs;0.10;54;9; 6;6;1;OK;OK;0;
1-random/000045_000000000270.dimacs;0.17;270;291; 39;39;1;OK;OK;0;
1-random/000050_000000000060.dimacs;0.10;60;13; 9;9;1;OK;OK;0;
1-random/000050_000000000300.dimacs;;300;339; 52;;0;;;;
1-random/000055_000000000066.dimacs;0.11;66;14; 8;8;1;OK;OK;0;
1-random/000055_000000000330.dimacs;;330;399; 54;;0;;;;
1-random/000060_000000000072.dimacs;0.10;72;13; 10;10;1;OK;OK;0;
1-random/000060_000000000360.dimacs;0.20;360;436; 50;50;1;OK;OK;0;
1-random/000065_000000000078.dimacs;;78;20; 16;;0;;;;
