file;time;n;m;solsize;recsteps;finished;VC-check;size-check;diff-to-opt;last-k-diff-to-opt
1-random/000002_000000000002.dimacs;0.09;2;0; 0;0;1;OK;OK;0;
1-random/000002_000000000012.dimacs;0.11;12;10; 2;5;1;OK;OK;0;
1-random/000004_000000000004.dimacs;0.11;4;0; 0;0;1;OK;OK;0;
1-random/000004_000000000024.dimacs;;24;20; 8;;0;;;;
1-random/000006_000000000007.dimacs;0.10;7;1; 1;2;1;OK;OK;0;
1-random/000006_000000000036.dimacs;0.13;36;30; 4;14;1;OK;OK;0;
1-random/000008_000000000009.dimacs;0.10;9;1; 1;2;1;OK;OK;0;
1-random/000008_000000000048.dimacs;;48;40; 9;;0;;;;
1-random/000010_000000000012.dimacs;;12;2; 6;;0;;;;
1-random/000010_000000000060.dimacs;;60;50; 6;;0;;;;
1-random/000012_000000000014.dimacs;0.10;14;2; 1;2;1;OK;OK;0;
1-random/000012_000000000072.dimacs;;72;60; 14;;0;;;;
1-random/000014_000000000016.dimacs;;16;2; 6;;0;;;;
1-random/000014_000000000084.dimacs;;84;70; 17;;0;;;;
1-random/000016_000000000019.dimacs;0.11;19;3; 1;2;1;OK;OK;0;
1-random/000016_000000000096.dimacs;;96;80; 14;;0;;;;
1-random/000018_000000000021.dimacs;;21;3; 6;;0;;;;
1-random/000018_000000000108.dimacs;;108;91; 19;;0;;;;
1-random/000020_000000000024.dimacs;;24;4; 6;;0;;;;
1-random/000020_000000000120.dimacs;;120;101; 9;;0;;;;
1-random/000022_000000000026.dimacs;;26;4; 6;;0;;;;
1-random/000022_000000000132.dimacs;;132;112; 23;;0;;;;
1-random/000024_000000000028.dimacs;;28;4; 6;;0;;;;
