2-social-networks/18-data.graph.dimacs;;2851;15093; 0;;0;;;;
2-social-networks/19-polblogs.graph.dimacs;0.35;1490;16715; 560;0;1;OK;OK;0;
2-social-networks/20-p2p-Gnutella08.txt.dimacs;0.46;6301;20777; 2054;1;1;OK;OK;0;
2-social-networks/21-PGPgiantcompo.graph.dimacs;0.84;10680;24316; 4342;14;1;OK;OK;0;
2-social-networks/22-ca-HepTh.txt.dimacs;0.82;9877;25973; 4981;0;1;OK;OK;0;
2-social-networks/23-p2p-Gnutella09.txt.dimacs;0.50;8114;26013; 2574;0;1;OK;OK;0;
