file;time;n;m;solsize;recsteps;finished;VC-check;size-check;diff-to-opt;last-k-diff-to-opt
1-random/000002_000000000002.dimacs;0.12;2;0; 0;1;1;OK;OK;0;
1-random/000002_000000000012.dimacs;0.14;12;10; 2;1;1;OK;OK;0;
1-random/000004_000000000004.dimacs;0.12;4;0; 0;1;1;OK;OK;0;
1-random/000004_000000000024.dimacs;0.13;24;20; 4;1;1;OK;OK;0;
1-random/000006_000000000007.dimacs;0.14;7;1; 1;1;1;OK;OK;0;
1-random/000006_000000000036.dimacs;0.13;36;30; 4;1;1;OK;OK;0;
1-random/000008_000000000009.dimacs;0.14;9;1; 1;1;1;OK;OK;0;
1-random/000008_000000000048.dimacs;0.13;48;40; 7;1;1;OK;OK;0;
1-random/000010_000000000012.dimacs;0.15;12;2; 2;1;1;OK;OK;0;
1-random/000010_000000000060.dimacs;0.17;60;50; 10;1;1;OK;OK;0;
1-random/000012_000000000014.dimacs;0.15;14;2; 1;1;1;OK;OK;0;
1-random/000012_000000000072.dimacs;0.17;72;60; 11;1;1;OK;OK;0;
1-random/000014_000000000016.dimacs;0.13;16;2; 2;1;1;OK;OK;0;
1-random/000014_000000000084.dimacs;0.17;84;70; 13;1;1;OK;OK;0;
1-random/000016_000000000019.dimacs;0.14;19;3; 1;1;1;OK;OK;0;
1-random/000016_000000000096.dimacs;0.18;96;80; 15;1;1;OK;OK;0;
1-random/000018_000000000021.dimacs;0.17;21;3; 2;1;1;OK;OK;0;
1-random/000018_000000000108.dimacs;0.19;108;91; 15;1;1;OK;OK;0;
1-random/000020_000000000024.dimacs;0.13;24;4; 2;1;1;OK;OK;0;
1-random/000020_000000000120.dimacs;0.17;120;101; 18;1;1;OK;OK;0;
1-random/000022_000000000026.dimacs;0.14;26;4; 3;1;1;OK;OK;0;
1-random/000022_000000000132.dimacs;0.17;132;112; 19;1;1;OK;OK;0;
1-random/000024_000000000028.dimacs;0.15;28;4; 4;1;1;OK;OK;0;
1-random/000024_000000000144.dimacs;0.19;144;124; 22;1;1;OK;OK;0;
1-random/000026_000000000031.dimacs;0.16;31;6; 5;1;1;OK;OK;0;
1-random/000026_000000000156.dimacs;0.18;156;131; 23;1;1;OK;OK;0;
1-random/000028_000000000033.dimacs;0.17;33;8; 4;1;1;OK;OK;0;
1-random/000028_000000000168.dimacs;0.19;168;152; 26;1;1;OK;OK;0;
1-random/000030_000000000036.dimacs;0.16;36;8; 5;1;1;OK;OK;0;
1-random/000030_000000000180.dimacs;0.22;180;167; 27;1;1;OK;OK;0;
1-random/000035_000000000042.dimacs;0.18;42;7; 6;1;1;OK;OK;0;
1-random/000035_000000000210.dimacs;0.21;210;202; 26;1;1;OK;OK;0;
1-random/000040_000000000048.dimacs;0.21;48;19; 7;1;1;OK;OK;0;
1-random/000040_000000000240.dimacs;0.22;240;244; 35;1;1;OK;OK;0;
1-random/000045_000000000054.dimacs;0.15;54;9; 6;1;1;OK;OK;0;
1-random/000045_000000000270.dimacs;0.19;270;291; 39;1;1;OK;OK;0;
1-random/000050_000000000060.dimacs;0.16;60;13; 9;1;1;OK;OK;0;
1-random/000050_000000000300.dimacs;0.20;300;339; 46;1;1;OK;OK;0;
1-random/000055_000000000066.dimacs;0.15;66;14; 8;1;1;OK;OK;0;
1-random/000055_000000000330.dimacs;0.18;330;399; 48;1;1;OK;OK;0;
1-random/000060_000000000072.dimacs;0.14;72;13; 10;1;1;OK;OK;0;
1-random/000060_000000000360.dimacs;0.20;360;436; 50;1;1;OK;OK;0;
1-random/000065_000000000078.dimacs;0.17;78;20; 11;1;1;OK;OK;0;
1-random/000065_000000000390.dimacs;0.21;390;547; 59;1;1;OK;OK;0;
