file;time;n;m;solsize;recsteps;finished;VC-check;size-check;diff-to-opt;last-k-diff-to-opt
1-random/000002_000000000002.dimacs;0.12;2;0; 6;;1;Not a VC: ;;;
1-random/000002_000000000012.dimacs;0.07;12;10; 6;;1;Not a VC: ;;;
1-random/000004_000000000004.dimacs;0.06;4;0; 6;;1;Not a VC: ;;;
1-random/000004_000000000024.dimacs;0.07;24;20; 6;;1;Not a VC: ;;;
1-random/000006_000000000007.dimacs;0.07;7;1; 6;;1;Not a VC: ;;;
1-random/000006_000000000036.dimacs;0.07;36;30; 6;;1;Not a VC: ;;;
1-random/000008_000000000009.dimacs;0.07;9;1; 6;;1;Not a VC: ;;;
1-random/000008_000000000048.dimacs;0.08;48;40; 6;;1;Not a VC: ;;;
1-random/000010_000000000012.dimacs;0.07;12;2; 6;;1;Not a VC: ;;;
1-random/000010_000000000060.dimacs;0.07;60;50; 6;;1;Not a VC: ;;;
1-random/000012_000000000014.dimacs;0.07;14;2; 6;;1;Not a VC: ;;;
1-random/000012_000000000072.dimacs;0.07;72;60; 6;;1;Not a VC: ;;;
1-random/000014_000000000016.dimacs;0.07;16;2; 6;;1;Not a VC: ;;;
1-random/000014_000000000084.dimacs;0.07;84;70; 6;;1;Not a VC: ;;;
1-random/000016_000000000019.dimacs;0.07;19;3; 6;;1;Not a VC: ;;;
1-random/000016_000000000096.dimacs;0.07;96;80; 6;;1;Not a VC: ;;;
1-random/000018_000000000021.dimacs;0.07;21;3; 6;;1;Not a VC: ;;;
1-random/000018_000000000108.dimacs;0.07;108;91; 6;;1;Not a VC: ;;;
1-random/000020_000000000024.dimacs;0.07;24;4; 6;;1;Not a VC: ;;;
1-random/000020_000000000120.dimacs;0.07;120;101; 6;;1;Not a VC: ;;;
1-random/000022_000000000026.dimacs;0.08;26;4; 6;;1;Not a VC: ;;;
1-random/000022_000000000132.dimacs;0.07;132;112; 6;;1;Not a VC: ;;;
1-random/000024_000000000028.dimacs;0.07;28;4; 6;;1;Not a VC: ;;;
1-random/000024_000000000144.dimacs;0.06;144;124; 6;;1;Not a VC: ;;;
