file;time;n;m;solsize;recsteps;finished;VC-check;size-check;diff-to-opt;last-k-diff-to-opt
1-random/000002_000000000002.dimacs;0.30;2;0; 2;;1;OK;>>INCORRECT Size; Solution too large:<< ;2;
1-random/000002_000000000012.dimacs;0.16;12;10; 12;;1;OK;>>INCORRECT Size; Solution too large:<< ;10;
1-random/000004_000000000004.dimacs;0.10;4;0; 4;;1;OK;>>INCORRECT Size; Solution too large:<< ;4;
1-random/000004_000000000024.dimacs;0.23;24;20; 24;;1;OK;>>INCORRECT Size; Solution too large:<< ;20;
1-random/000006_000000000007.dimacs;0.11;7;1; 7;;1;OK;>>INCORRECT Size; Solution too large:<< ;6;
1-random/000006_000000000036.dimacs;0.31;36;30; 36;;1;OK;>>INCORRECT Size; Solution too large:<< ;32;
