file;time;n;m;solsize;recsteps;finished;VC-check;size-check;diff-to-opt;last-k-diff-to-opt
1-random/000002_000000000002.dimacs;0.27;2;0; 0;;1;OK;OK;0;
1-random/000002_000000000012.dimacs;0.14;12;10; 0;;1;Not a VC: Uncovered edge: 1 7;;;
1-random/000004_000000000004.dimacs;0.10;4;0; 0;;1;OK;OK;0;
1-random/000004_000000000024.dimacs;0.23;24;20; 0;;1;Not a VC: Uncovered edge: 1 16;;;
1-random/000006_000000000007.dimacs;0.12;7;1; 0;;1;Not a VC: Uncovered edge: 2 7;;;
1-random/000006_000000000036.dimacs;0.32;36;30; 0;;1;Not a VC: Uncovered edge: 1 18;;;
1-random/000008_000000000009.dimacs;0.13;9;1; 0;;1;Not a VC: Uncovered edge: 5 9;;;
1-random/000008_000000000048.dimacs;0.39;48;40; 0;;1;Not a VC: Uncovered edge: 1 16;;;
1-random/000010_000000000012.dimacs;0.14;12;2; 0;;1;Not a VC: Uncovered edge: 2 11;;;
1-random/000010_000000000060.dimacs;0.49;60;50; 0;;1;Not a VC: Uncovered edge: 1 36;;;
1-random/000012_000000000014.dimacs;0.15;14;2; 0;;1;Not a VC: Uncovered edge: 4 13;;;
1-random/000012_000000000072.dimacs;0.56;72;60; 0;;1;Not a VC: Uncovered edge: 1 64;;;
1-random/000014_000000000016.dimacs;0.17;16;2; 0;;1;Not a VC: Uncovered edge: 6 16;;;
1-random/000014_000000000084.dimacs;0.63;84;70; 0;;1;Not a VC: Uncovered edge: 1 18;;;
